State name;Latitude;Longitude;ISO Code;Img Link
Oklahoma;35.007.752;-97.092.877;OK;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_Oklahoma.svg/2560px-Flag_of_Oklahoma.svg.png
Oregon;43.804.133;-120.554.201;OR;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Oregon.svg/2560px-Flag_of_Oregon.svg.png
Pennsylvania;41.203.322;-77.194.525;PA;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Pennsylvania.svg/2560px-Flag_of_Pennsylvania.svg.png
Rhode Island;41.580.095;-71.477.429;RI;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Rhode_Island.svg/2560px-Flag_of_Rhode_Island.svg.png
South Carolina;33.836.081;-81.163.725;SC;https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Flag_of_South_Carolina.svg/2560px-Flag_of_South_Carolina.svg.png
South Dakota;43.969.515;-99.901.810;SD;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_South_Dakota.svg/2560px-Flag_of_South_Dakota.svg.png
Tennessee;35.517.491;-86.580.447;TN;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Tennessee.svg/2560px-Flag_of_Tennessee.svg.png
Texas;31.968.599;-99.901.810;TX;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Flag_of_Texas.svg/2560px-Flag_of_Texas.svg.png
Utah;39.320.980;-111.093.731;UT;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Utah.svg/2560px-Flag_of_Utah.svg.png
Vermont;44.558.803;-72.577.841;VT;https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Vermont.svg/2560px-Flag_of_Vermont.svg.png
Virginia;37.431.573;-78.656.894;VA;https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Flag_of_Virginia.svg/2560px-Flag_of_Virginia.svg.png
Washington;47.751.076;-120.740.135;WA;https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Washington.svg/2560px-Flag_of_Washington.svg.png
West Virginia;38.597.626;-80.454.903;WV;https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_West_Virginia.svg/2560px-Flag_of_West_Virginia.svg.png
Wisconsin;43.784.439;-88.787.868;WI;https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flag_of_Wisconsin.svg/2560px-Flag_of_Wisconsin.svg.png
Wyoming;43.075.970;-107.290.283;WY;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Wyoming.svg/2560px-Flag_of_Wyoming.svg.png
United States;37.090.240;-95.712.891;XX;
